country,year,gni_per_capita,population,gdp_per_capita
Bangladesh,2000,660.0,129000000.0,2250.0
Brazil,2000,5890.0,176000000.0,11900.0
China,2000,1410.0,1260000000.0,3800.0
Germany,2000,39200.0,81600000.0,43600.0
France,2000,37400.0,58700000.0,40800.0
Indonesia,2000,870.0,214000000.0,5880.0
India,2000,660.0,1060000000.0,2730.0
Italy,2000,32800.0,57000000.0,43600.0
Japan,2000,54300.0,127000000.0,37700.0
South Korea,2000,16500.0,46800000.0,24200.0
Myanmar,2000,709.0,45500000.0,1120.0
Malaysia,2000,5190.0,22900000.0,16500.0
Nigeria,2000,705.0,123000000.0,2980.0
Netherlands,2000,43200.0,15900000.0,48300.0
Philippines,2000,1770.0,78000000.0,4620.0
Thailand,2000,2970.0,63100000.0,10300.0
Vietnam,2000,570.0,79000000.0,3730.0
Bangladesh,2001,646.0,132000000.0,2320.0
Brazil,2001,4920.0,178000000.0,11800.0
China,2001,1480.0,1270000000.0,4040.0
Germany,2001,36300.0,81500000.0,44200.0
France,2001,35000.0,59000000.0,41200.0
Indonesia,2001,1060.0,217000000.0,5980.0
India,2001,661.0,1080000000.0,2800.0
Italy,2001,31100.0,57000000.0,44400.0
Japan,2001,54000.0,127000000.0,37600.0
South Korea,2001,17600.0,47100000.0,25000.0
Myanmar,2001,736.0,46000000.0,1230.0
Malaysia,2001,5210.0,23500000.0,16100.000000000002
Nigeria,2001,778.0,126000000.0,3080.0
Netherlands,2001,40200.0,16000000.0,49000.0
Philippines,2001,1720.0,79600000.0,4650.0
Thailand,2001,2880.0,63600000.0,10500.0
Vietnam,2001,588.0,79800000.0,3910.0
Bangladesh,2002,641.0,134000000.0,2370.0
Brazil,2002,4520.0,180000000.0,12000.0
China,2002,1620.0,1280000000.0,4330.0
Germany,2002,34400.0,81400000.0,44100.0
France,2002,33600.0,59400000.0,41300.0
Indonesia,2002,1150.0,220000000.0,6140.0
India,2002,670.0,1100000000.0,2830.0
Italy,2002,30200.0,57100000.0,44400.0
Japan,2002,50700.0,127000000.0,37400.0
South Korea,2002,18700.0,47300000.0,26600.0
Myanmar,2002,772.0,46500000.0,1340.0
Malaysia,2002,5520.0,24100000.0,16600.0
Nigeria,2002,918.0,130000000.0,3460.0
Netherlands,2002,39400.0,16100000.000000002,48700.0
Philippines,2002,1650.0,81300000.0,4710.0
Thailand,2002,2900.0,64200000.0,11000.0
Vietnam,2002,612.0,80600000.0,4120.0
Bangladesh,2003,641.0,137000000.0,2450.0
Brazil,2003,4170.0,183000000.0,12000.0
China,2003,1780.0,1290000000.0,4680.0
Germany,2003,36300.0,81300000.0,43700.0
France,2003,36100.0,59700000.0,41200.0
Indonesia,2003,1250.0,223000000.0,6320.0
India,2003,725.0,1120000000.0,2980.0
Italy,2003,32500.0,57400000.0,44200.0
Japan,2003,48900.0,128000000.0,37800.0
South Korea,2003,19200.0,47500000.0,27100.0
Myanmar,2003,782.0,46900000.0,1470.0
Malaysia,2003,5800.0,24700000.0,17100.0
Nigeria,2003,990.0,133000000.0,3630.0
Netherlands,2003,43100.0,16100000.000000002,48500.0
